,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,EAST CARBON CITY,CARBON (7),2022,Sunday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,TOOELE,TOOELE (45),2022,Friday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Tuesday,0,Dark - Lighted,Urban,Cloudy,1
0,Utah,ROY,WEBER (57),2022,Thursday,1,Daylight,Urban,Rain,1
0,Utah,OGDEN,WEBER (57),2022,Tuesday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,SCIPIO,MILLARD (27),2022,Wednesday,0,Daylight,Rural,Clear,1
0,Utah,BIG WATER,KANE (25),2022,Tuesday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,CLEARFIELD,DAVIS (11),2022,Thursday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,KEARNS,SALT LAKE (35),2022,Thursday,1,Daylight,Urban,Clear,1
0,Utah,SOUTH SALT LAKE,SALT LAKE (35),2022,Thursday,1,Daylight,Urban,Clear,2
0,Utah,SPANISH FORK,UTAH (49),2022,Wednesday,1,Daylight,Rural,Rain,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,0,Dark - Lighted,Urban,Clear,1
0,Utah,GREEN RIVER,EMERY (15),2022,Wednesday,0,Daylight,Rural,Clear,1
0,Utah,SANDY CITY,SALT LAKE (35),2022,Saturday,1,Daylight,Urban,Clear,1
0,Utah,VERNAL,UINTAH (47),2022,Monday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,PAYSON,UTAH (49),2022,Tuesday,0,Daylight,Urban,Cloudy,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Friday,0,Dark - Not Lighted,Urban,"Fog, Smog, Smoke",1
0,Utah,SALINA,SEVIER (41),2022,Saturday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,OGDEN,WEBER (57),2022,Wednesday,1,Daylight,Urban,Cloudy,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Saturday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,WEST HAVEN,WEBER (57),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,MIDVALE,SALT LAKE (35),2022,Wednesday,0,Daylight,Urban,Clear,1
0,Utah,EAGLE MOUNTAIN,UTAH (49),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,RIVERDALE,WEBER (57),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Saturday,0,Dark - Lighted,Urban,Clear,1
0,Utah,ROY,WEBER (57),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,WEST JORDAN,SALT LAKE (35),2022,Saturday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,CEDAR CITY,IRON (21),2022,Monday,0,Dawn,Urban,Clear,1
0,Utah,MIDVALE,SALT LAKE (35),2022,Wednesday,0,Dark - Lighted,Urban,Clear,1
0,Utah,WEST JORDAN,SALT LAKE (35),2022,Saturday,0,Daylight,Urban,Clear,1
0,Utah,DUGWAY PROVING GROUND,TOOELE (45),2022,Thursday,0,Daylight,Rural,Clear,1
0,Utah,IBAPAH,TOOELE (45),2022,Sunday,1,Dark - Not Lighted,Rural,Blowing Snow,1
0,Utah,LAYTON,DAVIS (11),2022,Monday,1,Daylight,Urban,Cloudy,1
0,Utah,RICHFIELD,SEVIER (41),2022,Sunday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,NORTH SALT LAKE,DAVIS (11),2022,Sunday,1,Dark - Not Lighted,Urban,Cloudy,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Thursday,1,Daylight,Urban,Clear,2
0,Utah,Other,GRAND (19),2022,Thursday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,BIG WATER,KANE (25),2022,Sunday,0,Dark - Not Lighted,Rural,Clear,2
0,Utah,FARMINGTON,DAVIS (11),2022,Tuesday,0,Daylight,Urban,Clear,1
0,Utah,DRAPER,SALT LAKE (35),2022,Tuesday,0,Dark - Lighted,Urban,Cloudy,1
0,Utah,PARK CITY,SUMMIT (43),2022,Friday,1,Dark - Not Lighted,Urban,Rain,1
0,Utah,Other,TOOELE (45),2022,Tuesday,1,Daylight,Rural,Clear,1
0,Utah,WENDOVER,TOOELE (45),2022,Friday,1,Dark - Not Lighted,Rural,Clear,1
0,Utah,SANDY CITY,SALT LAKE (35),2022,Monday,1,Daylight,Urban,Clear,1
0,Utah,LEHI,UTAH (49),2022,Friday,1,Daylight,Urban,Cloudy,1
0,Utah,GREEN RIVER,EMERY (15),2022,Sunday,1,Dark - Not Lighted,Rural,Clear,1
